Date,Region,Malades
2020-04-08,Diourbel,26
2020-04-09,Diourbel,26
2020-04-10,Diourbel,26
2020-04-14,Diourbel,27
2020-04-15,Diourbel,27
2020-04-16,Diourbel,28
2020-04-17,Diourbel,30
2020-04-18,Diourbel,31
2020-04-19,Diourbel,31
2020-04-20,Diourbel,35
2020-04-21,Diourbel,41
2020-04-22,Diourbel,50
2020-04-23,Diourbel,58
2020-04-24,Diourbel,63
2020-04-25,Diourbel,70
2020-04-26,Diourbel,93
2020-04-27,Diourbel,103
2020-04-28,Diourbel,114
2020-04-29,Diourbel,117
2020-04-30,Diourbel,131
2020-05-01,Diourbel,138
2020-05-02,Diourbel,161
2020-05-03,Diourbel,169
2020-05-04,Diourbel,181
2020-05-05,Diourbel,197
2020-05-06,Diourbel,200
2020-05-07,Diourbel,208
2020-05-08,Diourbel,218
2020-05-09,Diourbel,226
2020-05-10,Diourbel,238
2020-05-11,Diourbel,259
2020-05-12,Diourbel,270
2020-05-13,Diourbel,290
2020-05-14,Diourbel,313
2020-05-15,Diourbel,321
2020-05-16,Diourbel,326
2020-05-17,Diourbel,329
2020-05-18,Diourbel,333
2020-05-19,Diourbel,335
2020-05-20,Diourbel,342
2020-05-21,Diourbel,345
2020-05-22,Diourbel,346
2020-05-23,Diourbel,347
2020-05-24,Diourbel,351
2020-05-25,Diourbel,351
2020-05-26,Diourbel,355
2020-05-27,Diourbel,363
2020-05-28,Diourbel,367
2020-05-29,Diourbel,374
2020-05-30,Diourbel,382
2020-05-31,Diourbel,399
2020-06-01,Diourbel,403
2020-06-02,Diourbel,411
2020-06-03,Diourbel,417
2020-06-04,Diourbel,418
2020-06-05,Diourbel,433
2020-06-07,Diourbel,447
2020-06-08,Diourbel,449
2020-06-09,Diourbel,460
2020-06-10,Diourbel,466
2020-06-11,Diourbel,470
2020-06-12,Diourbel,477
2020-06-14,Diourbel,491
2020-06-15,Diourbel,500
2020-06-16,Diourbel,507
2020-06-17,Diourbel,520
2020-06-18,Diourbel,526
2020-06-19,Diourbel,531
2020-06-20,Diourbel,533
2020-06-21,Diourbel,533
2020-06-22,Diourbel,542
2020-06-23,Diourbel,546
2020-06-24,Diourbel,548
2020-06-25,Diourbel,552
2020-06-26,Diourbel,559
2020-06-27,Diourbel,562
2020-06-28,Diourbel,569
2020-06-29,Diourbel,572
2020-06-30,Diourbel,584
2020-07-01,Diourbel,593
2020-07-02,Diourbel,599
2020-07-03,Diourbel,603
2020-07-04,Diourbel,610
2020-07-05,Diourbel,611
2020-07-06,Diourbel,614
2020-07-07,Diourbel,622
2020-07-08,Diourbel,625
2020-07-09,Diourbel,628
2020-07-10,Diourbel,633
2020-07-11,Diourbel,636
2020-07-12,Diourbel,637
2020-07-13,Diourbel,637
2020-07-14,Diourbel,639
2020-07-15,Diourbel,644
2020-07-16,Diourbel,644
2020-07-17,Diourbel,645
2020-07-20,Diourbel,653
2020-07-21,Diourbel,655
2020-07-22,Diourbel,656
2020-07-23,Diourbel,660
2020-07-24,Diourbel,666
2020-07-25,Diourbel,668
2020-07-26,Diourbel,669
2020-07-28,Diourbel,671
2020-07-29,Diourbel,674
2020-07-30,Diourbel,676
2020-08-02,Diourbel,678
2020-08-04,Diourbel,680
2020-08-05,Diourbel,683
2020-08-07,Diourbel,688
2020-08-09,Diourbel,693
2020-08-10,Diourbel,695
2020-08-11,Diourbel,699
2020-08-12,Diourbel,700
2020-08-14,Diourbel,702
2020-08-16,Diourbel,706
2020-08-17,Diourbel,708
2020-08-18,Diourbel,710
2020-08-19,Diourbel,712
2020-08-20,Diourbel,713
2020-08-21,Diourbel,717
2020-08-22,Diourbel,719
2020-08-23,Diourbel,719
2020-08-24,Diourbel,719
2020-08-25,Diourbel,720
2020-08-26,Diourbel,723
2020-08-27,Diourbel,723
2020-08-28,Diourbel,723
2020-08-30,Diourbel,724
2020-08-31,Diourbel,725
2020-09-01,Diourbel,725
2020-09-02,Diourbel,725
2020-09-03,Diourbel,726
2020-09-04,Diourbel,726
2020-09-05,Diourbel,729
2020-09-06,Diourbel,729
2020-09-07,Diourbel,729
2020-09-08,Diourbel,730
2020-09-09,Diourbel,730
2020-09-10,Diourbel,730
2020-09-11,Diourbel,731
2020-09-12,Diourbel,731
2020-09-13,Diourbel,731
2020-09-14,Diourbel,731
2020-09-15,Diourbel,732
2020-09-16,Diourbel,732
2020-09-17,Diourbel,732
2020-09-18,Diourbel,732
2020-09-19,Diourbel,732
2020-09-20,Diourbel,732
2020-09-21,Diourbel,732
2020-09-22,Diourbel,732
2020-09-23,Diourbel,732
2020-09-24,Diourbel,734
2020-09-27,Diourbel,735
2020-09-28,Diourbel,735
2020-09-29,Diourbel,738
2020-09-30,Diourbel,741
2020-10-01,Diourbel,741
2020-10-02,Diourbel,741
2020-10-04,Diourbel,741
2020-10-07,Diourbel,742
2020-10-08,Diourbel,744
2020-10-11,Diourbel,744
2020-10-12,Diourbel,744
2020-10-14,Diourbel,744
2020-10-16,Diourbel,744
2020-10-17,Diourbel,744
2020-10-19,Diourbel,746
2020-10-20,Diourbel,746
2020-03-29,Fatick,1
2020-03-31,Fatick,1
2020-04-01,Fatick,1
2020-04-02,Fatick,1
2020-04-03,Fatick,1
2020-04-04,Fatick,1
2020-04-05,Fatick,1
2020-04-06,Fatick,1
2020-04-07,Fatick,1
2020-04-08,Fatick,1
2020-04-09,Fatick,1
2020-04-10,Fatick,1
2020-04-14,Fatick,1
2020-04-15,Fatick,1
2020-04-16,Fatick,1
2020-04-17,Fatick,1
2020-04-18,Fatick,1
2020-04-19,Fatick,1
2020-04-20,Fatick,1
2020-04-21,Fatick,1
2020-04-22,Fatick,1
2020-04-23,Fatick,1
2020-04-24,Fatick,1
2020-04-25,Fatick,1
2020-04-26,Fatick,1
2020-04-27,Fatick,1
2020-04-28,Fatick,1
2020-04-29,Fatick,1
2020-04-30,Fatick,1
2020-05-01,Fatick,1
2020-05-02,Fatick,1
2020-05-03,Fatick,1
2020-05-04,Fatick,1
2020-05-05,Fatick,1
2020-05-06,Fatick,1
2020-05-07,Fatick,1
2020-05-08,Fatick,1
2020-05-09,Fatick,1
2020-05-10,Fatick,1
2020-05-11,Fatick,2
2020-05-12,Fatick,2
2020-05-13,Fatick,2
2020-05-14,Fatick,2
2020-05-15,Fatick,2
2020-05-16,Fatick,2
2020-05-17,Fatick,2
2020-05-18,Fatick,3
2020-05-19,Fatick,3
2020-05-20,Fatick,3
2020-05-21,Fatick,3
2020-05-22,Fatick,3
2020-05-23,Fatick,3
2020-05-24,Fatick,3
2020-05-25,Fatick,3
2020-05-26,Fatick,3
2020-05-27,Fatick,3
2020-05-28,Fatick,3
2020-05-29,Fatick,3
2020-05-30,Fatick,3
2020-05-31,Fatick,3
2020-06-01,Fatick,3
2020-06-02,Fatick,3
2020-06-03,Fatick,3
2020-06-04,Fatick,4
2020-06-05,Fatick,4
2020-06-07,Fatick,4
2020-06-08,Fatick,4
2020-06-09,Fatick,4
2020-06-10,Fatick,4
2020-06-11,Fatick,4
